,id,freq,roi,deg
203,GenZ_112_9a,delta,35,0.0
204,GenZ_112_9a,theta,0,0.0
205,GenZ_112_9a,theta,2,0.0
206,GenZ_112_9a,theta,3,0.0
207,GenZ_112_9a,theta,35,0.0
208,GenZ_112_9a,alpha,0,0.0
209,GenZ_112_9a,alpha,2,0.0
210,GenZ_112_9a,alpha,3,0.0
211,GenZ_112_9a,alpha,35,0.0
212,GenZ_112_9a,beta,0,0.0
213,GenZ_112_9a,beta,2,0.0
214,GenZ_112_9a,beta,3,0.0
215,GenZ_112_9a,beta,35,0.0
216,GenZ_112_9a,gamma,0,0.0
217,GenZ_112_9a,gamma,2,0.0
218,GenZ_112_9a,gamma,3,0.0
219,GenZ_112_9a,gamma,35,0.0
220,GenZ_112_9a,gamma2,0,0.0
221,GenZ_112_9a,gamma2,2,0.0
222,GenZ_112_9a,gamma2,3,0.0
223,GenZ_112_9a,gamma2,35,0.0
224,GenZ_113_9a,DC,0,0.0
225,GenZ_113_9a,DC,2,0.0
226,GenZ_113_9a,DC,3,0.0
227,GenZ_113_9a,DC,35,0.0
228,GenZ_113_9a,delta,0,0.0
229,GenZ_113_9a,delta,2,0.0
230,GenZ_113_9a,delta,3,0.0
231,GenZ_113_9a,delta,35,0.0
232,GenZ_113_9a,theta,0,0.0
233,GenZ_113_9a,theta,2,0.0
234,GenZ_113_9a,theta,3,0.0
235,GenZ_113_9a,theta,35,0.0
236,GenZ_113_9a,alpha,0,0.0
237,GenZ_113_9a,alpha,2,0.0
238,GenZ_113_9a,alpha,3,0.0
239,GenZ_113_9a,alpha,35,0.0
240,GenZ_113_9a,beta,0,0.0
241,GenZ_113_9a,beta,2,0.0
242,GenZ_113_9a,beta,3,0.0
243,GenZ_113_9a,beta,35,0.0
244,GenZ_113_9a,gamma,0,0.0
245,GenZ_113_9a,gamma,2,0.0
246,GenZ_113_9a,gamma,3,0.0
247,GenZ_113_9a,gamma,35,0.0
248,GenZ_113_9a,gamma2,0,0.0
249,GenZ_113_9a,gamma2,2,0.0
250,GenZ_113_9a,gamma2,3,0.0
251,GenZ_113_9a,gamma2,35,0.0
252,GenZ_114_9a,DC,0,0.0
253,GenZ_114_9a,DC,2,0.0
254,GenZ_114_9a,DC,3,0.0
255,GenZ_114_9a,DC,35,0.0
256,GenZ_114_9a,delta,0,0.0
257,GenZ_114_9a,delta,2,0.0
258,GenZ_114_9a,delta,3,0.0
259,GenZ_114_9a,delta,35,0.0
260,GenZ_114_9a,theta,0,0.0
261,GenZ_114_9a,theta,2,0.0
262,GenZ_114_9a,theta,3,0.0
263,GenZ_114_9a,theta,35,0.0
264,GenZ_114_9a,alpha,0,0.0
