,sid,freq,roi,aec
172,genz132_9a,DC,middletemporal_4-rh,0.2904005726240019
173,genz132_9a,DC,middletemporal_5-lh,0.3064437247381213
174,genz132_9a,DC,middletemporal_5-rh,0.30245127257222176
175,genz132_9a,DC,middletemporal_6-lh,0.2672987516441995
176,genz132_9a,DC,middletemporal_6-rh,0.28121925074598103
177,genz132_9a,DC,middletemporal_7-lh,0.30114390498561805
178,genz132_9a,DC,middletemporal_7-rh,0.2779460156776672
179,genz132_9a,DC,middletemporal_8-rh,0.2723262316171601
180,genz132_9a,DC,middletemporal_9-rh,0.26470874161625896
181,genz132_9a,DC,paracentral_1-lh,0.2728229208834656
182,genz132_9a,DC,paracentral_1-rh,0.32126958830310653
183,genz132_9a,DC,paracentral_2-lh,0.2657682518999493
184,genz132_9a,DC,paracentral_2-rh,0.32258415885831426
185,genz132_9a,DC,paracentral_3-lh,0.28291340167358503
186,genz132_9a,DC,paracentral_3-rh,0.27559123856479123
187,genz132_9a,DC,paracentral_4-lh,0.291036128610109
188,genz132_9a,DC,paracentral_4-rh,0.2769864183992187
189,genz132_9a,DC,paracentral_5-lh,0.24065240751267436
190,genz132_9a,DC,paracentral_5-rh,0.2674185946225226
191,genz132_9a,DC,paracentral_6-rh,0.301125374278731
192,genz132_9a,DC,parahippocampal_1-lh,0.31420923290096847
193,genz132_9a,DC,parahippocampal_1-rh,0.274326771470938
194,genz132_9a,DC,parahippocampal_2-lh,0.3098930850416537
195,genz132_9a,DC,parahippocampal_2-rh,0.2885977750383586
196,genz132_9a,DC,parahippocampal_3-lh,0.27419551928879443
197,genz132_9a,DC,parahippocampal_3-rh,0.26825204095452865
198,genz132_9a,DC,parsopercularis_1-lh,0.293136537481219
199,genz132_9a,DC,parsopercularis_1-rh,0.3168963708212174
200,genz132_9a,DC,parsopercularis_2-lh,0.2763079810887428
201,genz132_9a,DC,parsopercularis_2-rh,0.2731226362576779
202,genz132_9a,DC,parsopercularis_3-lh,0.3014079687112577
203,genz132_9a,DC,parsopercularis_3-rh,0.282032069478426
204,genz132_9a,DC,parsopercularis_4-lh,0.2525718588448165
205,genz132_9a,DC,parsopercularis_4-rh,0.3130285500375724
206,genz132_9a,DC,parsorbitalis_1-lh,0.31589321094166833
207,genz132_9a,DC,parsorbitalis_1-rh,0.29085719885316474
208,genz132_9a,DC,parsorbitalis_2-lh,0.29087440005620907
209,genz132_9a,DC,parsorbitalis_2-rh,0.2865595845177703
210,genz132_9a,DC,parstriangularis_1-lh,0.308015035645264
211,genz132_9a,DC,parstriangularis_1-rh,0.2895070690352867
212,genz132_9a,DC,parstriangularis_2-lh,0.27460550519625426
213,genz132_9a,DC,parstriangularis_2-rh,0.28183009943457005
214,genz132_9a,DC,parstriangularis_3-lh,0.2986718019974968
215,genz132_9a,DC,parstriangularis_3-rh,0.28756975644236754
